book_id,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count
1,"J.K. Rowling, Mary GrandPré",2005.0,Harry Potter and the Half-Blood Prince,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",eng,4.54,0.05803523215537145
2,"J.K. Rowling, Mary GrandPré",2003.0,Harry Potter and the Order of the Phoenix,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",eng,4.46,0.05900449031725719
3,"J.K. Rowling, Mary GrandPré",1997.0,Harry Potter and the Philosopher's Stone,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",eng,4.44,0.09609154553878949
5,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999.0,Harry Potter and the Prisoner of Azkaban,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",eng,4.53,0.06063865138214644
6,"J.K. Rowling, Mary GrandPré",2000.0,Harry Potter and the Goblet of Fire,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",eng,4.53,0.059304214141703886
10,J.K. Rowling,2005.0,"Harry Potter Collection (Harry Potter, #1-6)","Harry Potter Collection (Harry Potter, #1-6)",eng,4.73,0.007027739492911829
11,Douglas Adams,1979.0,The Hitchhiker's Guide to the Galaxy,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",en-US,4.2,0.043351940255605
13,Douglas Adams,1996.0,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,The Ultimate Hitchhiker's Guide to the Galaxy,eng,4.37,0.021144031378617333
21,Bill Bryson,2003.0,A Short History of Nearly Everything,A Short History of Nearly Everything,en-US,4.19,0.019602584916509434
24,Bill Bryson,2000.0,Down Under,In a Sunburned Country,eng,4.05,0.010850854141214818
25,Bill Bryson,1998.0,Notes from a Big Country,I'm a Stranger Here Myself: Notes on Returning to America after Twenty Years Away,en-US,3.89,0.009460310319292986
26,Bill Bryson,1989.0,The Lost Continent: Travels in Small-Town America,The Lost Continent: Travels in Small Town America,en-US,3.83,0.008986566490982595
27,Bill Bryson,1991.0,Neither Here Nor There: Travels in Europe,Neither Here nor There: Travels in Europe,en-US,3.88,0.0091979505703118
28,Bill Bryson,1995.0,Notes from a Small Island,Notes from a Small Island,eng,3.91,0.011589236646299381
29,Bill Bryson,1990.0,The Mother Tongue: English and How It Got That Way,The Mother Tongue: English and How It Got That Way,en-US,3.95,0.006958168272710546
30,J.R.R. Tolkien,1973.0,The Hobbit and The Lord of the Rings,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,eng,4.59,0.01350479306418228
33,J.R.R. Tolkien,1955.0,The Lord of the Rings,"The Lord of the Rings (The Lord of the Rings, #1-3)",eng,4.47,0.027937929252432537
34,J.R.R. Tolkien,1954.0, The Fellowship of the Ring,"The Fellowship of the Ring (The Lord of the Rings, #1)",eng,4.34,0.05953650477885039
50,Gary Paulsen,1986.0,Hatchet,"Hatchet (Brian's Saga, #1)",en-US,3.68,0.02113031626309696
67,Edward P. Jones,2003.0,The Known World,The Known World,eng,3.82,0.007298297013430859
93,"Johanna Spyri, Angelo  Rinaldi, Beverly Cleary",1880.0,Heidi,Heidi,eng,3.97,0.017026237460679605
98,"Heidi Murkoff, Sharon Mazel, Heidi Murkoff, Arlene Eisenberg, Sandee Hathaway, Mark D. Widome",1989.0,What to Expect the First Year,What to Expect the First Year (What to Expect),eng,3.86,0.004656309573739862
105,Frank Herbert,1985.0,Chapterhouse: Dune,Chapterhouse: Dune (Dune Chronicles #6),eng,3.89,0.008358264808285831
106,Frank Herbert,1969.0,Dune Messiah ,Dune Messiah (Dune Chronicles #2),eng,3.86,0.012871427360659722
112,Frank Herbert,1976.0,Children of Dune,Children of Dune (Dune Chronicles #3),eng,3.9,0.01219537217565721
117,Frank Herbert,1984.0,Heretics of Dune,Heretics of Dune (Dune Chronicles #5),eng,3.83,0.009004519904276944
119,Gary Russell,2002.0,The Lord of the Rings: The Art of The Fellowship of the Ring,The Lord of the Rings: The Art of The Fellowship of the Ring,en-US,4.59,0.006987946281853647
122,Bryce Courtenay,1989.0,The Power of One,"The Power of One (The Power of One, #1)",eng,4.34,0.010722894989797222
249,Henry Miller,1934.0,Tropic of Cancer,Tropic of Cancer,eng,3.71,0.009556103758282131
250,Henry Miller,1938.0,Tropic of Capricorn,Tropic of Capricorn,eng,3.85,0.004923327052378623
264,"Henry James, Patricia Crick",1881.0,The Portrait of a Lady,The Portrait of a Lady,eng,3.76,0.010506198867781012
275,"Marguerite Duras, Barbara Bray, Maxine Hong Kingston",1984.0,L'Amant,The Lover,eng,3.76,0.006165375018938237
291,"Kahlil Gibran, Anthony R. Ferris",1912.0,الأجنحة المتكسرة,The Broken Wings,eng,3.93,0.0033551304087822307
295,Robert Louis Stevenson,1882.0,Treasure Island,Treasure Island,eng,3.82,0.023188165460884133
304,"George Eliot, Edmund White",1876.0,Daniel Deronda,Daniel Deronda,eng,3.82,0.00596290499024538
320,"Gabriel García Márquez, Gregory Rabassa",1967.0,Cien años de soledad,One Hundred Years of Solitude,eng,4.04,0.031371663692253235
343,"Patrick Süskind, John E. Woods",1985.0,Das Parfum. Die Geschichte eines Mörders,Perfume: The Story of a Murderer,eng,4.0,0.01890444361172414
348,Robert A. Heinlein,1957.0,The Door into Summer,The Door Into Summer,eng,4.0,0.005539959618833742
350,Robert A. Heinlein,1961.0,Stranger in a Strange Land,Stranger in a Strange Land,eng,3.91,0.021023136257062442
353,Robert A. Heinlein,1973.0,Time Enough for Love,Time Enough for Love,eng,3.96,0.007166955351962503
355,Robert A. Heinlein,1984.0,Job: A Comedy of Justice,Job: A Comedy of Justice,en-US,3.77,0.0054106156122583115
357,Douglas Adams,1988.0,The Long Dark Tea-Time of the Soul,"The Long Dark Tea-Time of the Soul (Dirk Gently, #2)",en-US,4.05,0.010905076474568441
359,Douglas Adams,2002.0,The Salmon of Doubt: Hitchhiking the Galaxy One Last Time,"The Salmon of Doubt (Dirk Gently, #3)",eng,3.92,0.00636235016681863
360,Douglas Adams,1992.0,Mostly Harmless,"Mostly Harmless (Hitchhiker's Guide to the Galaxy, #5)",en-US,3.96,0.012054148044234995
365,Douglas Adams,1987.0,Dirk Gently's Holistic Detective Agency,Dirk Gently's Holistic Detective Agency (Dirk Gently #1),en-US,3.97,0.01340504059793356
378,"Norton Juster, Jules Feiffer",1961.0,The Phantom Tollbooth,The Phantom Tollbooth,en-US,4.22,0.01892019649976709
386,Nick Flynn,2004.0,Another Bullshit Night in Suck City: A Memoir,Another Bullshit Night in Suck City,eng,3.77,0.004115155219226929
400,Don DeLillo,1988.0,Libra ,Libra,eng,3.98,0.004522544885987788
415,Thomas Pynchon,1973.0,Gravity's Rainbow,Gravity's Rainbow,eng,4.03,0.007080638120703594
428,"Joan Didion, David Thomson",1970.0,Play It as It Lays,Play It as It Lays,eng,3.86,0.00591018572489179
431,"Paul Auster, Art Spiegelman",1987.0,The New York Trilogy,The New York Trilogy,eng,3.92,0.00834721620489928
432,Paul Auster,1985.0,City of Glass,"City of Glass (The New York Trilogy, #1)",eng,3.81,0.004514108537486975
446,Paul Auster,2005.0,The Brooklyn Follies,The Brooklyn Follies,eng,3.81,0.005600647167665786
447,Paul Auster,1989.0,Moon Palace,Moon Palace,eng,3.99,0.004941224202466035
449,Paul Auster,1999.0,Timbuktu,Timbuktu,eng,3.66,0.004073751503120382
456,Paul Auster,1992.0,Leviathan,Leviathan,eng,3.95,0.004479532542370838
475,Jared Diamond,2004.0,Collapse: How Societies Chose to Fail or Succeed,Collapse: How Societies Choose to Fail or Succeed,en-GB,3.92,0.00942078327535418
